"Step","daily-jazz-97 - Training PPL","daily-jazz-97 - Training PPL__MIN","daily-jazz-97 - Training PPL__MAX"
"0","8730.619745701044","8730.619745701044","8730.619745701044"
"1","3192.7407202890267","3192.7407202890267","3192.7407202890267"
"2","978.501276038938","978.501276038938","978.501276038938"
"3","758.0495468770413","758.0495468770413","758.0495468770413"
"4","827.4431441220469","827.4431441220469","827.4431441220469"
"5","646.7717475180318","646.7717475180318","646.7717475180318"
"6","313.18474940876655","313.18474940876655","313.18474940876655"
"7","366.7058723933056","366.7058723933056","366.7058723933056"
"8","131.73466115528763","131.73466115528763","131.73466115528763"
"9","193.55608253597617","193.55608253597617","193.55608253597617"
"11","209.09190963894497","209.09190963894497","209.09190963894497"
"12","193.20660138889602","193.20660138889602","193.20660138889602"
"13","203.96936256114608","203.96936256114608","203.96936256114608"
"14","186.12713082067776","186.12713082067776","186.12713082067776"
"15","158.6947061347757","158.6947061347757","158.6947061347757"
"16","133.08275912654707","133.08275912654707","133.08275912654707"
"17","129.55446992832427","129.55446992832427","129.55446992832427"
"18","76.19456236428945","76.19456236428945","76.19456236428945"
"19","54.37682557660315","54.37682557660315","54.37682557660315"
"20","83.700715367375","83.700715367375","83.700715367375"
"22","96.90262680035477","96.90262680035477","96.90262680035477"
"23","78.18836456834265","78.18836456834265","78.18836456834265"
"24","60.21562450293877","60.21562450293877","60.21562450293877"
"25","29.47214970850871","29.47214970850871","29.47214970850871"
"26","61.604720944798466","61.604720944798466","61.604720944798466"
"27","64.2154810781551","64.2154810781551","64.2154810781551"
"28","46.785906217100404","46.785906217100404","46.785906217100404"
"29","69.13180106941763","69.13180106941763","69.13180106941763"
"30","53.17699608205659","53.17699608205659","53.17699608205659"
"31","45.88555755463349","45.88555755463349","45.88555755463349"
"33","45.83963268047125","45.83963268047125","45.83963268047125"
"34","94.02323271403623","94.02323271403623","94.02323271403623"
"35","36.51666689292284","36.51666689292284","36.51666689292284"
"36","53.35180071851641","53.35180071851641","53.35180071851641"
"37","37.1717154180192","37.1717154180192","37.1717154180192"
"38","25.83872787525907","25.83872787525907","25.83872787525907"
"39","51.676408585981974","51.676408585981974","51.676408585981974"
"40","37.56568510157276","37.56568510157276","37.56568510157276"
"41","45.18164317144704","45.18164317144704","45.18164317144704"
"42","27.86521750565035","27.86521750565035","27.86521750565035"
"44","41.34784845751318","41.34784845751318","41.34784845751318"
"45","34.647063829673336","34.647063829673336","34.647063829673336"
"46","49.98710631993728","49.98710631993728","49.98710631993728"
"47","24.36826450122093","24.36826450122093","24.36826450122093"
"48","39.027641932883064","39.027641932883064","39.027641932883064"
"49","40.917374027625456","40.917374027625456","40.917374027625456"
"50","25.283020820981932","25.283020820981932","25.283020820981932"
"51","42.94885563883734","42.94885563883734","42.94885563883734"
"52","20.836807019988736","20.836807019988736","20.836807019988736"
"53","29.037821688218166","29.037821688218166","29.037821688218166"
"55","21.869694001290434","21.869694001290434","21.869694001290434"
"56","40.97631015696546","40.97631015696546","40.97631015696546"
"57","33.512453440973154","33.512453440973154","33.512453440973154"
"58","22.841752401729913","22.841752401729913","22.841752401729913"
"59","19.370675996857425","19.370675996857425","19.370675996857425"
"60","23.23838317747024","23.23838317747024","23.23838317747024"
"61","36.16865789344001","36.16865789344001","36.16865789344001"
"62","39.05979434597293","39.05979434597293","39.05979434597293"
"63","20.133827323935336","20.133827323935336","20.133827323935336"
"64","27.354186823990016","27.354186823990016","27.354186823990016"
"66","17.520992685489734","17.520992685489734","17.520992685489734"
"68","27.422293283740938","27.422293283740938","27.422293283740938"
"69","39.71922839891622","39.71922839891622","39.71922839891622"
"70","15.069408322964891","15.069408322964891","15.069408322964891"
"71","18.267533884036155","18.267533884036155","18.267533884036155"
"72","34.84456327428695","34.84456327428695","34.84456327428695"
"73","28.136089060708084","28.136089060708084","28.136089060708084"
"74","18.778745428482782","18.778745428482782","18.778745428482782"
"75","32.07317343878676","32.07317343878676","32.07317343878676"
"76","11.362149359342169","11.362149359342169","11.362149359342169"
"77","19.92658837658784","19.92658837658784","19.92658837658784"
"79","27.06390295516471","27.06390295516471","27.06390295516471"
"80","24.888622761923134","24.888622761923134","24.888622761923134"
"81","30.10372804019318","30.10372804019318","30.10372804019318"
"82","30.291018219066228","30.291018219066228","30.291018219066228"
"83","25.622928534470752","25.622928534470752","25.622928534470752"
"84","22.57965897505561","22.57965897505561","22.57965897505561"
"85","20.081466885212322","20.081466885212322","20.081466885212322"
"86","18.158346992550598","18.158346992550598","18.158346992550598"
"87","14.894494239760212","14.894494239760212","14.894494239760212"
