"Step","generous-plasma-100 - Training PPL","generous-plasma-100 - Training PPL__MIN","generous-plasma-100 - Training PPL__MAX"
"126","20.573929683362294","20.573929683362294","20.573929683362294"
"127","29.541852627424795","29.541852627424795","29.541852627424795"
"128","26.459946665526637","26.459946665526637","26.459946665526637"
"129","21.333612900299833","21.333612900299833","21.333612900299833"
"130","24.086829133280965","24.086829133280965","24.086829133280965"
"131","18.065264273014257","18.065264273014257","18.065264273014257"
"132","25.234638687450296","25.234638687450296","25.234638687450296"
"133","21.962304979642653","21.962304979642653","21.962304979642653"
"136","16.05567690935618","16.05567690935618","16.05567690935618"
"137","25.731390285657422","25.731390285657422","25.731390285657422"
"138","25.08105785391025","25.08105785391025","25.08105785391025"
"139","21.860727516748902","21.860727516748902","21.860727516748902"
"140","15.986825769585069","15.986825769585069","15.986825769585069"
"141","16.269230853585444","16.269230853585444","16.269230853585444"
"142","17.419486323769934","17.419486323769934","17.419486323769934"
"143","23.103445140147834","23.103445140147834","23.103445140147834"
"144","24.698164650903628","24.698164650903628","24.698164650903628"
"145","21.508538031771813","21.508538031771813","21.508538031771813"
"147","18.297592870855006","18.297592870855006","18.297592870855006"
"148","21.363587333587265","21.363587333587265","21.363587333587265"
"149","22.07972058975385","22.07972058975385","22.07972058975385"
"150","17.243918915235756","17.243918915235756","17.243918915235756"
"151","14.40866142416341","14.40866142416341","14.40866142416341"
"152","25.692383884084357","25.692383884084357","25.692383884084357"
"153","29.781858732317843","29.781858732317843","29.781858732317843"
"154","24.536514866964488","24.536514866964488","24.536514866964488"
"155","27.922544100931322","27.922544100931322","27.922544100931322"
"156","16.49551729672162","16.49551729672162","16.49551729672162"
"158","22.804027177501055","22.804027177501055","22.804027177501055"
"159","19.539570645735107","19.539570645735107","19.539570645735107"
"160","20.39322546597297","20.39322546597297","20.39322546597297"
"161","29.066996668662114","29.066996668662114","29.066996668662114"
"162","26.041799519225343","26.041799519225343","26.041799519225343"
"163","20.830677555410684","20.830677555410684","20.830677555410684"
"164","23.463802797157133","23.463802797157133","23.463802797157133"
"165","17.855457403341287","17.855457403341287","17.855457403341287"
"166","25.024224639333635","25.024224639333635","25.024224639333635"
"167","21.76218801883363","21.76218801883363","21.76218801883363"
