"Step","generous-plasma-100 - Training PPL","generous-plasma-100 - Training PPL__MIN","generous-plasma-100 - Training PPL__MAX"
"0","7578.345292321434","7578.345292321434","7578.345292321434"
"1","2591.79506874807","2591.79506874807","2591.79506874807"
"2","1056.0695887200607","1056.0695887200607","1056.0695887200607"
"3","766.751531079246","766.751531079246","766.751531079246"
"4","385.92946558576244","385.92946558576244","385.92946558576244"
"5","290.2274097680251","290.2274097680251","290.2274097680251"
"6","311.09519333788944","311.09519333788944","311.09519333788944"
"7","313.57850268749917","313.57850268749917","313.57850268749917"
"8","273.6645785510255","273.6645785510255","273.6645785510255"
"9","225.60809483242605","225.60809483242605","225.60809483242605"
"11","165.72260276353705","165.72260276353705","165.72260276353705"
"12","164.10959044683645","164.10959044683645","164.10959044683645"
"13","146.0113068602194","146.0113068602194","146.0113068602194"
"14","111.13411389016841","111.13411389016841","111.13411389016841"
"15","83.07881961599244","83.07881961599244","83.07881961599244"
"16","122.91908563356185","122.91908563356185","122.91908563356185"
"17","128.49693552542732","128.49693552542732","128.49693552542732"
"18","109.48169748918745","109.48169748918745","109.48169748918745"
"19","115.91069396138595","115.91069396138595","115.91069396138595"
"20","58.173577858628526","58.173577858628526","58.173577858628526"
"22","74.21029487067912","74.21029487067912","74.21029487067912"
"23","62.573302580224826","62.573302580224826","62.573302580224826"
"24","59.225220049136574","59.225220049136574","59.225220049136574"
"25","81.05077401928014","81.05077401928014","81.05077401928014"
"26","73.83568952991929","73.83568952991929","73.83568952991929"
"27","54.56029608800368","54.56029608800368","54.56029608800368"
"28","58.880419232528205","58.880419232528205","58.880419232528205"
"29","42.086620245740804","42.086620245740804","42.086620245740804"
"30","56.117526402957914","56.117526402957914","56.117526402957914"
"31","48.227061032178455","48.227061032178455","48.227061032178455"
"34","33.26916667845065","33.26916667845065","33.26916667845065"
"35","51.8901315100504","51.8901315100504","51.8901315100504"
"36","49.77242751685982","49.77242751685982","49.77242751685982"
"37","42.48163379258615","42.48163379258615","42.48163379258615"
"38","29.31238939749921","29.31238939749921","29.31238939749921"
"39","29.123851398194745","29.123851398194745","29.123851398194745"
"40","30.68065676911102","30.68065676911102","30.68065676911102"
"41","41.477112276436834","41.477112276436834","41.477112276436834"
"42","43.69178803807359","43.69178803807359","43.69178803807359"
"43","37.006489261042745","37.006489261042745","37.006489261042745"
"45","30.283833239517936","30.283833239517936","30.283833239517936"
"46","35.00547789297201","35.00547789297201","35.00547789297201"
"47","36.32667010214331","36.32667010214331","36.32667010214331"
"48","27.087245390559247","27.087245390559247","27.087245390559247"
"49","21.537299881842845","21.537299881842845","21.537299881842845"
"50","39.225517728825864","39.225517728825864","39.225517728825864"
"51","45.82549270977359","45.82549270977359","45.82549270977359"
"52","36.81224119330447","36.81224119330447","36.81224119330447"
"53","42.676270334515614","42.676270334515614","42.676270334515614"
"54","23.429742042564477","23.429742042564477","23.429742042564477"
"56","32.37871920577576","32.37871920577576","32.37871920577576"
"57","28.007840356717722","28.007840356717722","28.007840356717722"
"58","28.12242113850571","28.12242113850571","28.12242113850571"
"59","40.29276800899049","40.29276800899049","40.29276800899049"
"60","36.89056008999779","36.89056008999779","36.89056008999779"
"61","28.906785962936187","28.906785962936187","28.906785962936187"
"62","31.82177228905214","31.82177228905214","31.82177228905214"
"63","23.47104841309656","23.47104841309656","23.47104841309656"
"64","32.92871092552083","32.92871092552083","32.92871092552083"
"65","28.447461758935486","28.447461758935486","28.447461758935486"
"68","20.576441302682053","20.576441302682053","20.576441302682053"
"69","32.78039075996806","32.78039075996806","32.78039075996806"
"70","31.54009561372485","31.54009561372485","31.54009561372485"
"71","27.147734838226725","27.147734838226725","27.147734838226725"
"72","19.397568704173228","19.397568704173228","19.397568704173228"
"73","19.820717212296348","19.820717212296348","19.820717212296348"
"74","21.275697325272063","21.275697325272063","21.275697325272063"
"75","28.211112416359928","28.211112416359928","28.211112416359928"
"76","30.21242286371907","30.21242286371907","30.21242286371907"
"77","25.68822497794151","25.68822497794151","25.68822497794151"
"79","21.397934757365327","21.397934757365327","21.397934757365327"
"80","25.17589678876503","25.17589678876503","25.17589678876503"
