"Step","lemon-breeze-77 - Training PPL","lemon-breeze-77 - Training PPL__MIN","lemon-breeze-77 - Training PPL__MAX"
"0","9822.795291982733","9822.795291982733","9822.795291982733"
"1","2290.874933772452","2290.874933772452","2290.874933772452"
"2","869.1304664368123","869.1304664368123","869.1304664368123"
"3","573.7188528683242","573.7188528683242","573.7188528683242"
"4","424.7297624205262","424.7297624205262","424.7297624205262"
"5","356.31711741042784","356.31711741042784","356.31711741042784"
"6","270.85676983172965","270.85676983172965","270.85676983172965"
"7","260.26164956793315","260.26164956793315","260.26164956793315"
"8","253.85970905433896","253.85970905433896","253.85970905433896"
"9","203.51119893776266","203.51119893776266","203.51119893776266"
"11","203.01824284123492","203.01824284123492","203.01824284123492"
"12","190.63843216652546","190.63843216652546","190.63843216652546"
"13","132.41678098026117","132.41678098026117","132.41678098026117"
"14","131.2599387809501","131.2599387809501","131.2599387809501"
"15","130.44791963789126","130.44791963789126","130.44791963789126"
"17","130.97615173304257","130.97615173304257","130.97615173304257"
"18","130.77913185221763","130.77913185221763","130.77913185221763"
"19","117.35924675559332","117.35924675559332","117.35924675559332"
"20","104.51928752517827","104.51928752517827","104.51928752517827"
"21","94.60779172715156","94.60779172715156","94.60779172715156"
"22","82.89184912504491","82.89184912504491","82.89184912504491"
"23","67.62116799811733","67.62116799811733","67.62116799811733"
"24","71.88175711359287","71.88175711359287","71.88175711359287"
"25","72.2218562146104","72.2218562146104","72.2218562146104"
"26","63.5050677000881","63.5050677000881","63.5050677000881"
"28","69.97352596841073","69.97352596841073","69.97352596841073"
"29","75.11098844220871","75.11098844220871","75.11098844220871"
"30","51.49024754723307","51.49024754723307","51.49024754723307"
"31","50.63940673809141","50.63940673809141","50.63940673809141"
"32","60.123296771644746","60.123296771644746","60.123296771644746"
"34","60.86247610597377","60.86247610597377","60.86247610597377"
"35","67.2136722060144","67.2136722060144","67.2136722060144"
"36","61.09465443899543","61.09465443899543","61.09465443899543"
"37","58.624387545343026","58.624387545343026","58.624387545343026"
"38","49.4943641041214","49.4943641041214","49.4943641041214"
"39","47.482063981263295","47.482063981263295","47.482063981263295"
"40","39.6686918335197","39.6686918335197","39.6686918335197"
"41","42.646448199477895","42.646448199477895","42.646448199477895"
"42","44.376818107773126","44.376818107773126","44.376818107773126"
"43","42.13697201624591","42.13697201624591","42.13697201624591"
"45","46.79846801576275","46.79846801576275","46.79846801576275"
"46","52.34113107128591","52.34113107128591","52.34113107128591"
"47","35.87085259440678","35.87085259440678","35.87085259440678"
"48","35.83554907146805","35.83554907146805","35.83554907146805"
"49","45.41890641266438","45.41890641266438","45.41890641266438"
"51","45.396702155478714","45.396702155478714","45.396702155478714"
"52","52.48744046118238","52.48744046118238","52.48744046118238"
"53","48.03288000563425","48.03288000563425","48.03288000563425"
"54","46.99051550664091","46.99051550664091","46.99051550664091"
"55","39.283927581542656","39.283927581542656","39.283927581542656"
"56","38.65597025800025","38.65597025800025","38.65597025800025"
"57","32.425936334597715","32.425936334597715","32.425936334597715"
"58","35.787428210507244","35.787428210507244","35.787428210507244"
"59","37.26801500716807","37.26801500716807","37.26801500716807"
"60","36.02542500602971","36.02542500602971","36.02542500602971"
"62","41.335902172138326","41.335902172138326","41.335902172138326"
"63","46.07329849814856","46.07329849814856","46.07329849814856"
"64","31.523864662507435","31.523864662507435","31.523864662507435"
"65","31.965023401008704","31.965023401008704","31.965023401008704"
"66","41.38902649615922","41.38902649615922","41.38902649615922"
"68","41.295515401761655","41.295515401761655","41.295515401761655"
"69","48.38189120685228","48.38189120685228","48.38189120685228"
"70","44.761662445678645","44.761662445678645","44.761662445678645"
"71","44.143788261243415","44.143788261243415","44.143788261243415"
"72","36.98785088416065","36.98785088416065","36.98785088416065"
"73","36.34257509282204","36.34257509282204","36.34257509282204"
"74","30.65133097583311","30.65133097583311","30.65133097583311"
"75","34.20102620343051","34.20102620343051","34.20102620343051"
"76","35.78749646967461","35.78749646967461","35.78749646967461"
"77","35.11025093836121","35.11025093836121","35.11025093836121"
"79","39.92895863509749","39.92895863509749","39.92895863509749"
"80","44.74232893648832","44.74232893648832","44.74232893648832"
"81","30.680620194939856","30.680620194939856","30.680620194939856"
"82","31.238203207618923","31.238203207618923","31.238203207618923"
"83","40.62322636865452","40.62322636865452","40.62322636865452"
