"Step","tough-rain-98 - Training PPL","tough-rain-98 - Training PPL__MIN","tough-rain-98 - Training PPL__MAX"
"125","12.933244659127304","12.933244659127304","12.933244659127304"
"127","24.41293664258597","24.41293664258597","24.41293664258597"
"128","15.43647105327381","15.43647105327381","15.43647105327381"
"129","19.09810761646206","19.09810761646206","19.09810761646206"
"130","14.310742854250723","14.310742854250723","14.310742854250723"
"131","20.995411084168","20.995411084168","20.995411084168"
"132","18.488485136636765","18.488485136636765","18.488485136636765"
"133","24.773634875215397","24.773634875215397","24.773634875215397"
"134","21.35155992985474","21.35155992985474","21.35155992985474"
"135","16.81979949906256","16.81979949906256","16.81979949906256"
"136","15.842176181991242","15.842176181991242","15.842176181991242"
"138","18.285360188208948","18.285360188208948","18.285360188208948"
"140","20.893946313330616","20.893946313330616","20.893946313330616"
"141","18.035918056325993","18.035918056325993","18.035918056325993"
"142","17.820625995055853","17.820625995055853","17.820625995055853"
"143","21.30621519119428","21.30621519119428","21.30621519119428"
"144","14.612486763660753","14.612486763660753","14.612486763660753"
"145","24.06950949367292","24.06950949367292","24.06950949367292"
"146","15.640763519248662","15.640763519248662","15.640763519248662"
"147","19.480612062922834","19.480612062922834","19.480612062922834"
"148","14.327382349926038","14.327382349926038","14.327382349926038"
"149","15.474698171057554","15.474698171057554","15.474698171057554"
"151","15.351428979862392","15.351428979862392","15.351428979862392"
"152","18.688260499709195","18.688260499709195","18.688260499709195"
"153","21.65735842547396","21.65735842547396","21.65735842547396"
"154","26.993429921089902","26.993429921089902","26.993429921089902"
"155","21.97888911540146","21.97888911540146","21.97888911540146"
"156","18.411185427046142","18.411185427046142","18.411185427046142"
"157","25.528560131455958","25.528560131455958","25.528560131455958"
"158","19.435820603901018","19.435820603901018","19.435820603901018"
"159","18.453479139677672","18.453479139677672","18.453479139677672"
"160","12.54531065672546","12.54531065672546","12.54531065672546"
"162","23.612011911080426","23.612011911080426","23.612011911080426"
"163","15.112573170471059","15.112573170471059","15.112573170471059"
"164","18.630653536310167","18.630653536310167","18.630653536310167"
"165","14.081873472876799","14.081873472876799","14.081873472876799"
"166","20.59703636420855","20.59703636420855","20.59703636420855"
"167","18.03551385164755","18.03551385164755","18.03551385164755"
"168","24.233957921372525","24.233957921372525","24.233957921372525"
"169","20.75949655057366","20.75949655057366","20.75949655057366"
"170","16.70121421611876","16.70121421611876","16.70121421611876"
"171","15.399968489125927","15.399968489125927","15.399968489125927"
"173","18.034116405274133","18.034116405274133","18.034116405274133"
