"Step","tough-rain-98 - Training PPL","tough-rain-98 - Training PPL__MIN","tough-rain-98 - Training PPL__MAX"
"0","6927.749756411053","6927.749756411053","6927.749756411053"
"1","2540.6752354340697","2540.6752354340697","2540.6752354340697"
"2","1031.494105982446","1031.494105982446","1031.494105982446"
"3","719.77246867093","719.77246867093","719.77246867093"
"4","370.72377691596313","370.72377691596313","370.72377691596313"
"5","428.09219002470104","428.09219002470104","428.09219002470104"
"6","286.5105622791391","286.5105622791391","286.5105622791391"
"7","230.68912697260012","230.68912697260012","230.68912697260012"
"8","187.13166820067286","187.13166820067286","187.13166820067286"
"9","180.23886673581217","180.23886673581217","180.23886673581217"
"11","125.95481038517038","125.95481038517038","125.95481038517038"
"12","157.7314672036796","157.7314672036796","157.7314672036796"
"13","159.52129274131295","159.52129274131295","159.52129274131295"
"14","166.98121116031476","166.98121116031476","166.98121116031476"
"15","109.97882188174604","109.97882188174604","109.97882188174604"
"16","93.63715692706364","93.63715692706364","93.63715692706364"
"17","106.77882914395678","106.77882914395678","106.77882914395678"
"18","74.86262405086549","74.86262405086549","74.86262405086549"
"19","68.11540010602391","68.11540010602391","68.11540010602391"
"20","46.14043110789912","46.14043110789912","46.14043110789912"
"22","80.48931687112815","80.48931687112815","80.48931687112815"
"23","46.303032805746454","46.303032805746454","46.303032805746454"
"24","55.3134306020418","55.3134306020418","55.3134306020418"
"25","36.96216243499909","36.96216243499909","36.96216243499909"
"26","55.17052843197484","55.17052843197484","55.17052843197484"
"27","46.34014039800942","46.34014039800942","46.34014039800942"
"28","58.15100243081814","58.15100243081814","58.15100243081814"
"29","49.909985844128414","49.909985844128414","49.909985844128414"
"30","36.790463812779095","36.790463812779095","36.790463812779095"
"31","36.1452532639786","36.1452532639786","36.1452532639786"
"33","38.340482009360684","38.340482009360684","38.340482009360684"
"35","41.519448532094174","41.519448532094174","41.519448532094174"
"36","39.447187777833534","39.447187777833534","39.447187777833534"
"37","35.90453015876365","35.90453015876365","35.90453015876365"
"38","41.70297470375372","41.70297470375372","41.70297470375372"
"39","27.722382356128296","27.722382356128296","27.722382356128296"
"40","46.17373134596829","46.17373134596829","46.17373134596829"
"41","29.863548764592583","29.863548764592583","29.863548764592583"
"42","34.021439196709316","34.021439196709316","34.021439196709316"
"43","24.16262607094163","24.16262607094163","24.16262607094163"
"44","26.525263793685312","26.525263793685312","26.525263793685312"
"46","24.234056144610413","24.234056144610413","24.234056144610413"
"47","31.754767134331736","31.754767134331736","31.754767134331736"
"48","37.66859103615231","37.66859103615231","37.66859103615231"
"49","44.98792408944679","44.98792408944679","44.98792408944679"
"50","33.69365117784221","33.69365117784221","33.69365117784221"
"51","27.87289190359109","27.87289190359109","27.87289190359109"
"52","38.28354795178466","38.28354795178466","38.28354795178466"
"53","28.958804641267655","28.958804641267655","28.958804641267655"
"54","27.09062318878635","27.09062318878635","27.09062318878635"
"55","18.057952306486047","18.057952306486047","18.057952306486047"
"57","34.22306584222558","34.22306584222558","34.22306584222558"
"58","21.32954930995172","21.32954930995172","21.32954930995172"
"59","25.94580182454961","25.94580182454961","25.94580182454961"
"60","18.93183719725286","18.93183719725286","18.93183719725286"
"61","28.236608947095533","28.236608947095533","28.236608947095533"
"62","24.576707733037086","24.576707733037086","24.576707733037086"
"63","32.75406325746018","32.75406325746018","32.75406325746018"
"64","27.946713727645502","27.946713727645502","27.946713727645502"
"65","21.431034426814836","21.431034426814836","21.431034426814836"
"66","20.59369734790657","20.59369734790657","20.59369734790657"
"68","23.333846975026187","23.333846975026187","23.333846975026187"
"70","26.202231620935986","26.202231620935986","26.202231620935986"
"71","23.306503080152176","23.306503080152176","23.306503080152176"
"72","22.29701578998768","22.29701578998768","22.29701578998768"
"73","26.37514462705957","26.37514462705957","26.37514462705957"
